code_commune;nom_commune;region;departement;population;strate_population;commune_rurale;commune_montagne;commune_touristique;tranche_revenu_habitant;recettes_fonctionnement_par_hab;depenses_fonctionnement_par_hab;frais_personnel_par_hab;depenses_equipement_par_hab;epargne_brute_par_hab;encours_dette_par_hab;dotation_etat_par_hab;impots_locaux_par_hab
15164;Roffiac;Auvergne-Rhône-Alpes;Cantal;645;3;Oui;Oui;Non;2;830.33;651.14;230.15;286.24;179.19;405.85;246.38;273.53
67238;Kindwiller;Grand Est;Bas-Rhin;645;3;Oui;Non;Non;2;481.55;266.71;77.59;359.15;214.84;5.13;101.89;206.93
40071;Castelnau-Chalosse;Nouvelle-Aquitaine;Landes;644;3;Oui;Non;Non;1;828.46;603.35;216.63;162.77;225.11;877.95;214.06;330.03
12073;Comps-la-Grand-Ville;Occitanie;Aveyron;644;3;Oui;Oui;Non;1;1093.47;720.42;347.46;401.84;373.05;951.92;213.92;258.46
38117;Cognin-les-Gorges;Auvergne-Rhône-Alpes;Isère;644;3;Oui;Oui;Non;2;678.14;597.23;186.39;716.98;80.91;782.83;138.33;318.04
60547;Rosoy;Hauts-de-France;Oise;644;3;Oui;Non;Non;2;534.56;339.7;136.57;110.45;194.86;253.03;148.91;248.34
43033;Blesle;Auvergne-Rhône-Alpes;Haute-Loire;644;3;Oui;Oui;Oui;1;1635.39;1427.51;437.08;728.23;207.88;1104.68;285.78;624.07
67295;Mittelbergheim;Grand Est;Bas-Rhin;644;3;Non;Non;Non;4;908.14;685.84;241.02;1351.48;222.3;1261.53;23.1;444.38
24081;Carlux;Nouvelle-Aquitaine;Dordogne;644;3;Oui;Non;Non;2;1183.29;948.96;323.89;448.04;234.33;1843.94;260.03;527.02
59657;West-Cappel;Hauts-de-France;Nord;644;3;Oui;Non;Non;2;519.28;477.42;259.05;83.27;41.85;202.6;184.92;238.69
76092;Beuzevillette;Normandie;Seine-Maritime;644;3;Oui;Non;Non;2;536.14;493.97;270.75;446.74;42.18;208.8;108.82;262.7
80412;Hamelet;Hauts-de-France;Somme;644;3;Oui;Non;Non;2;523.93;416.04;119.12;239.73;107.89;12.96;184.73;256.18
30086;Collorgues;Occitanie;Gard;644;3;Oui;Non;Non;1;684.94;505.73;180.65;131.34;179.21;241.59;274.75;345.12
88442;Sapois;Grand Est;Vosges;644;3;Non;Oui;Non;1;1100.2;761.62;300.85;538.38;338.58;631.99;357.73;232.93
76441;Monchaux-Soreng;Normandie;Seine-Maritime;644;3;Oui;Non;Non;1;671.22;608.2;208.46;237.4;63.02;609.85;232.73;305.63
89031;Beaumont;Bourgogne-Franche-Comté;Yonne;644;3;Oui;Non;Non;1;757.14;574.22;250.49;278.36;182.93;844.27;201.33;344.45
17400;Saint-Sever-de-Saintonge;Nouvelle-Aquitaine;Charente-Maritime;643;3;Oui;Non;Non;2;600.54;701.78;235.22;92.0;-101.23;406.92;113.03;321.33
50378;Notre-Dame-de-Cenilly;Normandie;Manche;643;3;Oui;Non;Non;1;791.23;468.45;224.47;243.1;322.77;724.77;175.39;198.7
01240;Matafelon-Granges;Auvergne-Rhône-Alpes;Ain;643;3;Oui;Oui;Non;2;853.81;681.33;350.08;88.9;172.47;50.84;33.2;471.76
23239;Saint-Sébastien;Nouvelle-Aquitaine;Creuse;643;3;Oui;Non;Non;1;1151.77;901.84;446.31;492.83;249.93;364.55;322.0;497.55
40103;Gaillères;Nouvelle-Aquitaine;Landes;643;3;Oui;Non;Non;1;575.29;504.48;247.71;39.87;70.81;376.67;91.92;177.09
65287;Loures-Barousse;Occitanie;Hautes-Pyrénées;643;3;Oui;Oui;Non;2;1363.56;1080.62;378.3;345.07;282.94;2339.47;271.35;501.67
51162;Conflans-sur-Seine;Grand Est;Marne;643;3;Oui;Non;Non;1;694.1;430.44;171.24;127.51;263.66;364.94;205.43;246.07
71328;Nanton;Bourgogne-Franche-Comté;Saône-et-Loire;643;3;Oui;Non;Non;1;714.59;616.85;167.68;950.32;97.74;640.76;229.58;237.38
